feature,importance
avg_iat,0.2384153635184558
inter_arrival_time,0.20803901570920028
packet_rate_1s,0.09933254639915322
packet_count,0.09927402104136954
flow_duration,0.06902574231221058
packet_rate_z,0.06015927119870491
byte_rate,0.05558449658293865
packet_rate_60s,0.0540761466316245
syn_flag_count,0.03601108337774052
packet_size,0.029874704484930178
avg_packet_size,0.02953953273897689
protocol_id,0.009178383998434493
ack_flag_count,0.007147792931623027
device_type,0.0018925702238745293
timestamp,0.001047693612426065
dest_port_bucket,0.0007104845736691705
rst_flag_count,0.0006768875161276766
dest_port_entropy,7.19616982694027e-06
unique_dest_ips_count,4.18281075072413e-06
unique_dest_ports_count,2.8841679624598736e-06
